age,balance,day,duration,campaign,pdays,previous,deposit,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,education_secondary,education_tertiary,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown,tipo_cliente_pdays_Cliente Recurrente
0.5324675324675325,0.1043713302517859,0.13333333333333336,0.26811033771590614,0.0,0.0,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.4935064935064935,0.07827281916162224,0.13333333333333336,0.3776746584171177,0.0,0.0,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.29870129870129875,0.09218521084371557,0.13333333333333336,0.3575663830884248,0.0,0.0,0.0,1,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.4805194805194805,0.10588181849155603,0.13333333333333336,0.1487496777519979,0.0,0.0,0.0,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.4675324675324675,0.07985144972799854,0.13333333333333336,0.17298272750708943,0.016129032258064516,0.0,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.31168831168831174,0.07776175171207596,0.13333333333333336,0.14436710492394944,0.016129032258064516,0.0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.4935064935064935,0.08718810689259635,0.1666666666666667,0.30910028357824176,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.5454545454545454,0.0839513463788032,0.1666666666666667,0.2650167568961072,0.0,0.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.24675324675324678,0.07777310876651032,0.1666666666666667,0.1562258313998453,0.0,0.0,0.0,1,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.12987012987012986,0.13556915878297804,0.1666666666666667,0.33384893013663314,0.03225806451612903,0.0,0.0,1,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
